x,y,z,nx,ny,nz
0.02367230296310143,-0.5316785766839669,0.01673611832191609,0.6958859787055837,-0.7112611522398402,0.09924858903787215
0.029388424899241823,-0.5076298951134659,-0.001514697715938861,-0.9950154623613016,-0.09408429288076989,0.033051352134446266
0.016942895713590346,-0.5006012963477803,0.02846576972037838,-0.4291197795639079,-0.7189193999761683,-0.5468190503403872
0.008583228586861752,-0.5365312483788073,0.008134466075011556,-0.11395091259470062,0.9931386572783072,-0.02628373261500694
-0.01421445326324176,-0.49308538743148456,0.00644221319184695,0.6574533074039282,-0.6361184094569544,-0.4038669780976135
0.02886574740913643,-0.5221880862126889,0.022066979306460215,0.9208735416998237,-0.34352831727031286,0.1843373268318175
-0.015254515267467616,-0.5298851207608839,-0.01107632023071916,0.6113813831200745,0.79128505775171,-0.00898771857445653
-0.007804075264044308,-0.5338788810151774,0.01753050740878758,-0.533676103347143,-0.8034585167381789,0.2639020093210189
-0.010345554289236232,-0.520881432471018,0.03050178918016629,-0.7817863853605027,-0.26051006356848533,0.5665197173508789
0.024785057175375762,-0.5024209846497044,0.018742692322880422,-0.8357605756101443,-0.4756033847436262,-0.27441890061743474
0.028298423259381915,-0.4991230729199046,0.010629274840166743,0.8587302195823115,0.4812635949453228,0.17597660585606306
-0.007956221498981755,-0.528085234128556,0.02805604439773687,-0.6611395591552278,-0.5853556614223869,0.46931144604521646
0.01904279216682716,-0.5289461247348175,0.02827764180420145,-0.5963354953297383,0.7246341678684031,-0.34538281861295717
0.02897348839985337,-0.497161946576351,-0.011710447956788323,0.9140942837263364,0.40135752111313366,-0.057825442729692235
0.00826068955848739,-0.4892512159234567,0.013722843326132956,-0.18265508125781665,-0.9022319470146776,-0.39065917064009736
0.0025314300046203747,-0.49442009249516844,0.02785987304239174,-0.17258341501147656,0.798307709796631,0.5769920168508788
0.010203016796220613,-0.5362643553447749,0.007843091408487952,-0.19272642902990522,0.9811782328278886,-0.012075549267804686
0.02288796892432915,-0.4964472164379489,0.020250152536313206,0.660671373122128,0.6546725901992392,0.36731066816371327
0.005195095215617486,-0.4833536000745905,-0.0017056082385356,-0.15765931207873568,-0.9516522357539474,-0.2636314157737079
-0.0159231859297414,-0.4971634223500567,0.009252192853864683,0.7528989846368901,-0.49866840114778205,-0.4295031666123894
-0.016300682483021283,-0.5251978731005844,0.007897696225351296,0.8225138065962587,0.5062059795439455,-0.2592808445552428
-0.01537715188252672,-0.5109373710152212,0.019369549886295127,0.8731620316400625,-0.09872090350690517,-0.47732830092016365
0.017456927602459593,-0.4869817612344367,0.006723914631652377,0.4603115928030803,0.8452307603263749,0.27147412641544055
0.011382054210561134,-0.5334463063992814,-0.018607479595337935,-0.2043506993417474,0.2102010078478016,-0.956062930971757
0.0205908511770495,-0.48630706391672107,-0.005669755110428211,0.6427180017646072,0.7582158279593658,0.10964646533008567
0.0031937733507550817,-0.49455268370052696,0.023582818052118353,0.10678171615052831,-0.826318216313452,-0.5529881758330237
0.002817829849325333,-0.5376630053853433,-0.017704033982192762,-0.2043506993417474,0.2102010078478016,-0.956062930971757
-0.004998457716412816,-0.5253100961996855,0.034202896627014645,-0.6319406315002565,-0.4585016018328485,0.6248418551426441
0.01133590167047649,-0.48855526412313466,0.010237603777364327,-0.25569116432328154,-0.9053131598358033,-0.33916083648822715
0.015460414000702728,-0.5219336653186233,0.0416255356355002,0.2043506993417474,-0.2102010078478016,0.956062930971757
-0.023763869757377886,-0.5083273371845874,-0.0008932316268671376,0.9507727149268093,-0.058833375443485145,-0.3042530275654379
0.009772105566063206,-0.5038878616497646,0.03520326376049762,-0.10552244912788092,-0.6500494539891999,-0.7525295858584309
