x,y,z,nx,ny,nz,approach_x,approach_y,approach_z,approach_rx,approach_ry,approach_rz,press_x,press_y,press_z,press_rx,press_ry,press_rz
-0.0017083867622854,-0.5192325325055999,0.0396545772104718,-0.5520190397130793,-0.17003507124498515,0.8163106359352196,-0.0574623097733064,-0.5364060747013434,0.122101951439929,-0.37658559526402996,2.501855680239463,0.11975968530006331,-0.04642192897904481,-0.5330053732764437,0.1057757387212246,-0.37658559526402996,2.501855680239463,0.11975968530006331
-0.0043455811601859,-0.5183230476996096,0.0377589712944902,-0.6476271976531788,-0.0905688864780691,0.7565555430118884,-0.06975592812315695,-0.5274705052338946,0.11417108113869091,-0.16867062586754786,2.423949116891481,0.06279259888943126,-0.056803384170093375,-0.5256591275043332,0.09903997027845314,-0.16867062586754786,2.423949116891481,0.06279259888943126
-0.0042255053991514,-0.5174035812926587,0.0344586512528506,-0.7011001743195453,-0.12062467425686542,0.7027860510351128,-0.07503662300542548,-0.5295866733926021,0.10544004240739702,-0.2000973874322972,2.3431180264355516,0.08359801596211998,-0.06101461951903457,-0.5271741799074648,0.09138432138669475,-0.2000973874322972,2.3431180264355516,0.08359801596211998
-0.0099087414110744,-0.5185399294148615,0.0319055727984585,-0.7622228191512707,-0.12784926812880962,0.6345635812146937,-0.08689324614535272,-0.5314527054958713,0.09599649450114259,-0.18755348763715682,2.25196546370851,0.0886809115068632,-0.0716487897623273,-0.5288957201332951,0.08330522287684872,-0.18755348763715682,2.25196546370851,0.0886809115068632
-0.0129395527398509,-0.5177188375960471,0.0279769643414663,-0.8237078896362054,-0.11004573536529831,0.5562330884431268,-0.09613404959310767,-0.5288334568679423,0.0841565062742221,-0.1434398597704958,2.1568745284458735,0.0765966873969311,-0.07965989180038356,-0.5266325421606363,0.07303184450535956,-0.1434398597704958,2.1568745284458735,0.0765966873969311
-0.016427851712365,-0.517353428552368,0.0223408510566702,-0.8640804096672685,-0.16986561256492894,0.473825621191158,-0.10369997308875911,-0.5345098554214258,0.07019723879697719,-0.2002577784581877,2.0568587185041762,0.1196550937868013,-0.08641836489541374,-0.5311125431701272,0.060720726373154024,-0.2002577784581877,2.0568587185041762,0.1196550937868013
-0.0144998541459965,-0.5169078745783978,0.0204227214029145,-0.8744304955429807,-0.14484662702302523,0.4630235016762214,-0.10281733419583755,-0.5315373839077233,0.06718809507221288,-0.16837826503229741,2.046830485559173,0.10200888913903192,-0.08532872428497794,-0.5286404513672628,0.05792762503868845,-0.16837826503229741,2.046830485559173,0.10200888913903192
-0.0171706109045295,-0.519374711313429,0.0133945694886521,-0.8881752212882683,-0.2883362269409404,0.3577806542044975,-0.10687630825464457,-0.548496670234464,0.04953041556330634,-0.3036074572067199,1.918478947824819,0.2088042423598906,-0.0891128038288792,-0.5427299456956453,0.04237480247921639,-0.3036074572067199,1.918478947824819,0.2088042423598906
-0.0180609771605066,-0.5181771738470177,0.0121493720798298,-0.8881751092393428,-0.28833649602755423,0.3577807155035521,-0.1077666631936802,-0.5472991599458006,0.04828522434568856,-0.3036077676770625,1.9184789765568158,0.20880444120558062,-0.09000316100889334,-0.5415324300252495,0.04112961003561752,-0.3036077676770625,1.9184789765568158,0.20880444120558062
-0.0210465200210804,-0.5157377749814406,0.0055851394565589,-0.9285895051017685,-0.19797478007463257,0.313890932441913,-0.11483406003635901,-0.5357332277689785,0.03728812363319215,-0.19841083184889807,1.8821850712369144,0.14337792790332288,-0.09626226993432364,-0.5317737321674858,0.03101030498435389,-0.19841083184889807,1.8821850712369144,0.14337792790332288
